Species_code,Group,Species_name,Official_name,Alternative_names,Common_name,Order,Family,Genus,Diet,Body_mass_g,mean_SVL_mm,Source_SVL
b23,Birds,Myrmotherula longipennis,Myrmotherula longipennis,-,Long-winged antwren,Passeriformes,Thamnophilidae,Myrmotherula,0,9.4,,
b24,Birds,Myrmotherula gutturalis,Epinecrophylla gutturalis,-,Brown-bellied antwren,Passeriformes,Thamnophilidae,Epinecrophylla,0,9.2,,
b25,Birds,Myrmotherula menetriesii,Myrmotherula menetriesii,-,Grey antwren,Passeriformes,Thamnophilidae,Myrmotherula,0,8.6,,
b26,Birds,Tolmomyias assimilis,Tolmomyias assimilis,-,Yellow-margined flatbill,Passeriformes,Tyrannidae,Tolmomyias,0,17,,
b27,Birds,Hylophilus ochraceiceps,Hylophilus ochraceiceps,Tunchiornnis ochraceiceps,Tawny-crowned greenlet,Passeriformes,Vireonidae,Hylophilus,0,11.6,,
b28,Birds,Philydor erythrocercus,Philydor erythrocercum,Philydor erythrocercum,Rufous-rumped foliage-gleaner,Passeriformes,Furnariidae,Philydor,0,25.27,,
b29,Birds,Anser brachyrhynchus,Anser brachyrhynchus,-,Pink footed goose,Anseriformes,Anatidae,Anser,0,2642.04,,
b31,Birds,Vanellus vanellus,Vanellus vanellus,-,Northern lapwing,Charadriiformes,Charadriidae,Vanellus,0,218.37,,
b32,Birds,Turdus viscivorus,Turdus viscivorus,-,Mistle thrush,Passeriformes,Turdidae,Turdus,0,117.37,,
b33,Birds,Turdus pilaris,Turdus pilaris,-,Fieldfare,Passeriformes,Turdidae,Turdus,0,106,,
b34,Birds,Turdus philomelos,Turdus philomelos,-,Song thrush,Passeriformes,Turdidae,Turdus,0,67.74,,
b35,Birds,Turdus iliacus,Turdus iliacus,-,Redwing,Passeriformes,Turdidae,Turdus,0,61.2,,
b36,Birds,Troglodytes hiemalis,Troglodytes hiemalis,Troglodytes troglodytes,Winter wren,Passeriformes,Troglodytidae,Troglodytes,20,9.74,,
b37,Birds,Tringa ochropus,Tringa ochropus,-,Green sandpiper,Charadriiformes,Scolopacidae,Tringa,20,71.4,,
b38,Birds,Sylvia curruca,Sylvia curruca,-,Lesser whitethroat,Passeriformes,Sylviidae,Sylvia,0,11.44,,
b39,Birds,Sylvia communis,Sylvia communis,-,Common whitethroat,Passeriformes,Sylviidae,Sylvia,0,15.1,,
b40,Birds,Sylvia borin,Sylvia borin,-,Garden warbler,Passeriformes,Sylviidae,Sylvia,0,18.2,,
b41,Birds,Sturnus vulgaris,Sturnus vulgaris,-,Common starling,Passeriformes,Sturnidae,Sturnus,20,77.14,,
b42,Birds,Spinus spinus,Spinus spinus,Carduelis spinus,Eurasian siskin,Passeriformes,Fringillidae,Spinus,0,13.24,,
b43,Birds,Saxicola rubetra,Saxicola rubetra,-,Winchat,Passeriformes,Muscicapidae,Saxicola,0,16.6,,
b44,Birds,Riparia riparia,Riparia riparia,-,Collared sand martin,Passeriformes,Hirundinidae,Riparia,0,12.68,,
b45,Birds,Pyrrhula pyrrhula,Pyrrhula pyrrhula,-,Eurasian bullfinch,Passeriformes,Fringillidae,Pyrrhula,0,24.26,,
b46,Birds,Prunella modularis,Prunella modularis,-,Dunnock,Passeriformes,Prunellidae,Prunella,0,20.24,,
b47,Birds,Poecile montanus,Poecile montanus,Paris montanus,Willow tit,Passeriformes,Paridae,Poecile,0,11.1,,
