Author,Year,NumberInDatabase,#Studies,#DatapointsFinal,StudyYear,Taxa,Orders,Infrastructure,Location,Habitat,Quality,Origin,Citation
Mohd-Azlan,2018,64,1,135,2016-2017,"Mammals, Birds, Reptiles","Cetartiodactyla (4 sp.), Carnivora (10 sp.), Pholidota (1 sp.), Primates (1 sp.), Rodentia (3 sp.), Eulipotyphla (1 sp.), Passeriformes (5 sp.), Columbiformes (1 sp.), Squamata (1 sp.)",Paved road,"Kubah National Park, Borneo",Tropical forest,"1 (a=1,b=0)",Search string,"Mohd-Azlan, J. (2018). Distribution, relative abundance and occupancy of selected mammals along paved road in Kubah National Park, Sarawak, Borneo. Nature Conservation Research. Заповедная наука, 3(2)."
Storm & Choate,2012,65,3,54,2000,Mammals,"Rodentia (6 sp.), Eulipotyphla (3 sp.)",Powerline,"Roosevelt Arapahoe National Forest, Colorado, USA",Subalpine coniferous forest,"1 (a=1,b=0)",Search string,"Storm, J. J., & Choate, J. R. (2012). Structure and movements of a community of small mammals along a powerline right-of-way in subalpine coniferous forest. The Southwestern Naturalist, 57(4), 385-392."
Chen et al. ,2019A,66,2,27,2009,Mammals,"Eulipotyphla (1 sp.), Rodentia (8 sp.)",Paved road,"Shennongjia forest, Hubei province, China",Oriental deciduous forest,"2 (a=1,b=1)",Search string,"Chen, W., Zhong, J., Carson, W. P., Tang, Z., Xie, Z., Sun, S., & Zhou, Y. (2019). Proximity to roads disrupts rodents’ contributions to seed dispersal services and subsequent recruitment dynamics. Journal of Ecology, 107(6), 2623-2634."
Darling et al. ,2019,67,1,14,2005-2007,Mammals,"Rodentia (6 sp.), Eulipotyphla (1 sp.)",Pipelines,"Northwest territories & Alberta, Canada",Boreal forest,"1 (a=1,b=0)",Search string,"Darling, A. F., Leston, L., & Bayne, E. M. (2019). Small-mammal abundance differs between pipelines, edges, and interior boreal forest habitat. Canadian Journal of Zoology, 97(10), 880-894."
Raiter et al. ,2018,69,2,30,2013-2014,Mammals,Carnivora (3 sp.),Unpaved roads,"Great Western Woodlands, Australia","Woodland, shrubland","1 (a=1,b=0)",Search string,"Raiter, K. G., Hobbs, R. J., Possingham, H. P., Valentine, L. E., & Prober, S. M. (2018). Vehicle tracks are predator highways in intact landscapes. Biological Conservation, 228, 281-290."
Khamcha et al.,2018,73,2,30,2014-2016,"Mammals, reptiles","Squamata (10 sp.), Rodentia (2 sp.), Primates (1 sp.), Carnivora (1 sp.), Scandentia (1 sp.)",Highway,"Sakaerat Environmental Research Station, Thailand",Evergreen forest,"1 (a=0,b=1)",Search string,"Khamcha, D., Powell, L. A., & Gale, G. A. (2018). Effects of roadside edge on nest predators and nest survival of Asian tropical forest birds. Global Ecology and Conservation, 16, e00450."
Langenberger,2019,75,5,44,2005,Birds,Anseriformes (1 sp.),Paved road,"Hvanneyri, Iceland",Agricultural fields,"1 (a=0,b=1)",Search string,"Langenberger, K. C. (2019). Geese protection vs. settlement: The distribution and land use of Greenland White-fronted Geese on Hvanneyri fields and their reaction to disturbances (Doctoral dissertation)."
Cappa et al. ,2019,76,8,24,2011-2016,Mammals,Cetartiodactyla (1 sp.),"Paved road, unpaved road","Ischigualasto Provincial Park, Argentina",Open shrubland ,"1 (a=1,b=0)",Search string,"Cappa, F. M., Borghi, C. E., & Giannoni, S. M. (2019). How Roads Affect the Spatial Use of the Guanaco in a South American Protected Area: Human Connectivity vs Animal Welfare. Diversity, 11(7), 110."
Hughson et al. ,2013,78,2,10,2008-2010,Reptiles,Testudines (1 sp.),Paved road,"Mojave desert, USA",Desert shrubland,"2 (a=1,b=1)",Search string,"Hughson, D. L., & Darby, N. (2013). Desert tortoise road mortality in Mojave National Preserve, California. California Fish and Game, 99, 222-232."
Torres et al. ,2011,79,1,4,1997-2009,Birds,Otidiformes (1 sp.),Highway,"Iberian Peninsula, Spain",Agricultural,"2 (a=1,b=1)",Search string,"Aurora Torres,Carlos Palacín, Javier Seoane, Juan C. Alonso, Assessing the effects of a highway on a threatened species using Before–During–After and Before–During–After-Control–Impact designs, Biological Conservation, Volume 144, Issue 9, 2011, Pages 2223-2232,"
Floyd,2015,80,12,96,2009-2011,Reptiles,Squamata (2 sp.),"Highway, paved road","Chihuahuan desert, USA",Desert shrublands,"1 (a=1,b=0)",Search string,"Floyd, K. W. (2015). An assessment of the role of roads in population demography and genetic structuring in two species of lizards in the northern Chihuahuan Desert. The University of Texas at El Paso."
Delgado et al.,2008,81,3,56,1999,Birds,"Passeriformes (10 sp.), Columbiformes (3 sp.), Piciformes (1 sp.)","Paved road, unpaved road","Tenerife, Spain","Pine forest, laurel forest","1 (a=1,b=0)",Search string,"Delgado, J. D., Arévalo, J. R., & Fernández-Palacios, J. M. (2008). Bird communities in two oceanic island forests fragmented by roads on Tenerife, Canary Islands. Ostrich-Journal of African Ornithology, 79(2), 219-226."
Luck et al.,1999,82,2,154,1996,Birds,"Columbiformes (1 sp.), Psittaciformes (5 sp.), Passeriformes (39 sp.)",Road/dirt road,"Murray Mallee region, Australia",Mallee shrubland,"1 (a=1,b=0)",Search string,"Luck, G. W., Possingham, H. P., & Paton, D. C. (1999). Bird responses at inherent and induced edges in the Murray Mallee, South Australia. 1. Differences in abundance and diversity. Emu, 99(3), 157-169."
Chen et al. ,2019B,85,1,28,2013-2014,Mammals,Rodentia (7 sp.),Paved road,"Shennongjia, China",Oak forest,"2 (a=1,b=1)",Search string,"Chen, W., Xie, Z., & Zhou, Y. (2019). Proximity to roads reduces acorn dispersal effectiveness by rodents: Implication for forest regeneration and management. Forest Ecology and Management, 433, 625-632."
Pattison et al.,2020,87,1,34,2010-2013,Mammals,"Carnivora (10 sp.), Cetartiodactyla (2 sp.), Lagomorpha (1 sp.), Rodentia (2 sp.), Eulipotyphla (1 sp.), Mustelidae (1 sp.)",Seismic line,"Rocky mountains, Alberta, Canada",Boreal forest,"2 (a=1,b=1)",Search string,"Pattison, C. A., Castley, J. G., & Catterall, C. P. (2020). Seismic linear clearings alter mammal abundance and community composition in boreal forest landscapes. Forest Ecology and Management, 462, 117936."
Planillo et al. ,2018,90,2,10,2011-2012,Mammals,"Carnivora (4 sp.), Lagomorpha (1 sp.)",Highway,"Avila & Segovia, Spain",Agricultural,"1 (a=0,b=1)",Search string,"APA: Planillo, A., Mata, C., Manica, A., & Malo, J. E. (2018). Carnivore abundance near motorways related to prey and roadkills. The Journal of Wildlife Management, 82(2), 319-327."
Peaden et al.,2015,91,2,10,2012,Reptiles,Testudines (1 sp.),"Paved road, Highway","Ivanpah & Fenner valley, USA",Desert shrubland,"2 (a=1,b=1)",Search string," J. Mark Peaden, Tracey D. Tuberville, Kurt A. Buhlmann, Melia G. Nafus, and Brian D. Todd ""Delimiting road-effect zones for threatened species: implications for mitigation fencing,"" Wildlife Research 42(8), 650-659, (18 December 2015). https://doi.org/10.1071/WR15082 "
