"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD + logD2 + Habitat + InfraType",2428.33180268782,"2480.386141023","7.30273052216195","0.199081722938174","6241.81378966199","0","0.2799","0.0301","0.4276","0.1107","0.0094","0.0098","0.6768",53.7091927894799
"~logD + logD2 + logBM + InfraType",2428.38495550263,"2480.4392938378","7.34479769028118","0.196233982939895","6259.37285044614","0","0.2795","0.041","0.4207","0.1084","0.01","0.0098","0.678",53.7623456042897
"~logD * logBM + Habitat",2428.39907981499,"2475.74501076338","5.26448220770267","0.261220274995891","6461.76015486684","0","0.2835","0.0479","0.4158","0.091","0.0088","0.0072","0.6677",53.7764699166496
"~logD + logBM + Habitat",2428.63091488601,"2471.2636271761","2.94412341476344","0.400320722233356","7088.54353539594","0","0.2906","0.0411","0.4065","0.0805","0.0077","0.0041","0.6498",54.0083049876698
"~logD * Habitat + InfraType",2428.94818767457,"2481.00252600974","6.70709891219872","0.243350816048369","6240.97397334568","0","0.2917","0.0347","0.4054","0.077","0.0066","0.0094","0.6456",54.3255777762297
"~InfraType",2429.16570089549,"2467.08040015718","0.221224475650176","0.895285839614699","6799.44716171222","0","0.285","0.0332","0.4233","0.0944","0.0106","3e-04","0.6634",54.5430909971496
"~logD + InfraType",2429.63336541569,"2472.26607770578","1.80382584995519","0.614102742028617","6637.41454902816","0","0.2897","0.0311","0.4101","0.0823","0.0093","0.0025","0.6487",55.0107555173499
"~logD + logD2 + logBM + Habitat + InfraType",2429.68599049512,"2486.44390796459","8.11547053870056","0.229765148314292","6017.65623971999","0","0.2798","0.0404","0.424","0.1111","0.0093","0.0108","0.6798",55.06338059678
"~logD * logBM + logD * Habitat + InfraType",2429.88262105338,"2491.33927234371","10.0727633823204","0.184487398766859","5840.35096284108","0","0.2834","0.054","0.4131","0.0896","0.0081","0.0136","0.6704",55.2600111550396
"~logD * logBM + logD2 + InfraType",2430.03816224595,"2486.79607971542","7.85046959955478","0.249264298821261","6087.50814966891","0","0.278","0.0444","0.4237","0.1111","0.0104","0.0104","0.6829",55.4155523476097
"~logD * Habitat + logBM + InfraType",2430.55289182552,"2487.31080929499","7.29708845842085","0.294244280892625","6094.03908639955","0","0.2914","0.0459","0.4034","0.0782","0.0066","0.0101","0.6506",55.9302819271797
"~logD * logBM + InfraType",2430.95251906956,"2483.00685740473","4.79272875498719","0.44169606760268","6108.90637169188","0","0.2829","0.049","0.4154","0.0942","0.0103","0.0065","0.67",56.3299091712197
"~logD + logBM + InfraType",2430.95863961719,"2478.30457056558","2.65957823460653","0.616306199760851","6482.56375878655","0","0.29","0.0426","0.406","0.0829","0.0089","0.0037","0.6521",56.3360297188497
"~logD + Habitat + InfraType",2431.07967500149,"2478.42560594989","2.39883374766747","0.662838037511882","6270.39197166955","0","0.2903","0.0313","0.4121","0.0848","0.0086","0.0033","0.6502",56.4570651031499
"~logD * logBM + logD2 + Habitat + InfraType",2431.30834123597,"2492.76499252629","8.66254853059894","0.277799943363562","5855.82186447496","0","0.2782","0.044","0.4271","0.1138","0.0097","0.0114","0.6849",56.6857313376299
"~logD * logBM + Habitat + InfraType",2432.46145416733,"2489.2193716368","5.34625451799668","0.50023011288412","5857.04632493016","0","0.283","0.049","0.4189","0.097","0.0099","0.0072","0.6724",57.8388442689898
"~logD + logBM + Habitat + InfraType",2432.61733425603,"2484.67167259121","3.03626333120242","0.694394946516652","6114.98841658867","0","0.2902","0.0422","0.4092","0.0856","0.0086","0.0042","0.6543",57.9947243576898
