"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD + logD2 + Diet + logBM",6454.39187460188,"6512.42622576745","15.29378596817","0.00412911194622459","26498.0204541486","0","0.1989","0.0441","0.1196","0.0723","0.1486","0.0105","0.6627",34.2165529159902
"~logD + logD2 + Habitat + InfraType",6454.76715809099,"6524.38876409743","19.3162020397449","0.003661644179458","26189.8347793273","0","0.1987","0.0366","0.1199","0.117","0.1369","0.0127","0.6779",34.5918364051004
"~logD + logD2 + Diet + Habitat + InfraType",6455.42109838041,"6530.83386691012","20.4462616321946","0.00468228066097555","26101.088256103","0","0.1991","0.0402","0.1193","0.097","0.135","0.0138","0.6675",35.2457766945199
"~logD + logD2 + logBM + Habitat + InfraType",6455.66115263801,"6531.07392116771","20.6106771554685","0.00439119579250133","26189.817967513","0","0.1989","0.0475","0.119","0.1041","0.1361","0.0136","0.6761",35.4858309521205
"~logD + Habitat",6456.13978322972,"6502.58031984432","9.30626609653267","0.00953169184952179","26520.4785979591","0","0.2018","0.0363","0.1187","0.0892","0.1404","0.0064","0.6581",35.9644615438301
"~logD",6456.25892695545,"6496.90010139696","6.95280294614606","0.00836880098524896","26813.8498343838","0","0.2016","0.0321","0.1203","0.0628","0.1551","0.0049","0.6493",36.0836052695604
"~logD + logD2 + InfraType",6456.54082860133,"6520.36962815147","15.0622253121772","0.0100997415537903","26235.7205255191","0","0.1983","0.0312","0.1216","0.0967","0.1531","0.01","0.6732",36.3655069154402
"~logD + logBM",6456.95619665353,"6503.39673326813","8.70272973840407","0.0128892084858685","26770.644776139","0","0.2018","0.0445","0.119","0.055","0.152","0.0061","0.6496",36.7808749676406
"~logD + Diet",6456.95865139866,"6503.39918801326","8.48473177036784","0.0143735454258728","26763.1288515313","0","0.2019","0.0354","0.1195","0.0496","0.1513","0.0061","0.6401",36.78332971277
"~logD + logD2 + logBM + InfraType",6456.97546223985,"6526.5970682463","16.7963504223898","0.0100615587443477","26232.6431270905","0","0.1986","0.0436","0.1204","0.0819","0.1508","0.0113","0.6701",36.8001405539599
